Row Labels,Max of BLK,Max of G,Average of FG,Count of Year
Harold Pressley,76,80,268.75,4
Harrison Barnes,20,82,351.4,5
Harry Barnes,,22,18,1
Harry Boykoff,,61,135,4
Harry Davis,8,40,36,2
Harry Donovan,,45,90,1
Harry Gallatin*,,72,294.7777778,9
Harthorne Wingo,35,82,99,4
Harvey Catchings,184,80,79.07692308,13
Harvey Grant,61,81,304.0909091,11
Harvey Marlatt,,31,29,3
Hasheem Thabeet,89,68,23.33333333,9
Hassan Adams,4,61,39.5,2
Hassan Whiteside,269,77,242,5
Hawkeye Whitney,6,47,87,2
Haywoode Workman,7,77,77.9,10
Hedo Turkoglu,34,82,245.4705882,17
Henry Akin,,50,64.5,2
Henry Bibby,7,82,219.9090909,11
Henry Dickerson,1,17,7.5,2
Henry Ellenson,1,19,23,1
Henry James,11,65,54.77777778,9
Henry Sims,30,73,88.83333333,6
Henry Turner,7,36,40.5,2
Henry Walker,9,61,72.28571429,7
Henry Ward,5,27,34,1
Herb Scherer,,20,21.5,2
Herb White,,38,34,1
Herb Williams,184,82,246.4090909,22
Herm Gilliam,18,82,337,8
Herm Hedderick,,5,2,1
Herm Schaefer,,65,122,1
Hersey Hawkins,43,82,376.0769231,13
Hilton Armstrong,45,70,37.45454545,11
Hiram Fuller,1,4,3,1
Hollis Copeland,25,75,99,2
Hollis Thompson,26,77,136.5,6
Hook Dillon,,22,10,1
Hoot Gibson,,32,44.66666667,3
Horace Grant,131,81,319.9411765,17
Horace Jenkins,1,15,15,1
Horace Walker,,65,149,1
Horacio Llamas,5,20,11.5,2
Hot Rod,182,82,266.8421053,19
Howard Carter,4,55,74.5,2
Howard Eisley,13,82,117.8333333,18
Howard Komives,3,85,279.25,12
Howard Nathan,0,5,5,1
Howard Porter,73,78,213.4545455,11
Howard Wood,6,42,55,1
Howard Wright,5,15,8.4,5
Howie Carl,,31,67,1
Howie Janotta,,9,9,1
Howie Jolliff,,64,55,3
Howie Montgomery,,20,65,1
Howie Schultz,,67,94.2,5
Howie Shannon,,67,222,1
Hub Reed,,80,150.1111111,9
Hubert Davis,11,82,144.0625,16
Hubie White,,29,35.5,2
Hutch Jones,0,9,8.5,2
Ian Clark,13,77,60.66666667,6
Ian Lockhart,0,1,1,1
Ian Mahinmi,75,80,101.3333333,9
Ibo Kutluay,0,5,0,1
Igor Rakocevic,0,42,22,1
Ike Borsavage,,24,26,1
Ike Diogu,30,69,65.4,10
Iman Shumpert,27,76,150.875,8
Ime Udoka,17,75,87.71428571,7
Ira Bowman,0,11,2.333333333,3
Ira Newble,26,74,78,11
Ira Terrell,47,78,115.75,4
Irv Bemoras,,69,154.5,2
Irv Kiffin,2,26,32,1
Irving Thomas,1,26,17,1
Isaac Austin,56,82,154.6363636,11
Isaac Fontaine,0,6,3,1
Isaac Walthour,,4,1,1
Isaiah Canaan,12,77,107.6666667,6
Isaiah Morris,1,25,26,1
Isaiah Rider,28,79,398.1111111,9
Isaiah Taylor,1,4,1,1
Isaiah Thomas,13,82,382.625,8
Isaiah Whitehead,36,73,204,1
Isaiah Wilson,,48,63,1
Ish Smith,33,81,105.1764706,17
Isiah Thomas*,33,82,553.3846154,13
Ivan Johnson,18,69,163,2
Ivan McFarlin,0,11,5,1
Ivano Newbill,15,72,25.33333333,3
Ivica Zubac,33,38,126,1
J.J. Anderson,21,65,99.2,5
J.J. Barea,6,81,207.5454545,11
J.J. Hickson,54,81,192.6666667,12
J.J. O'Brien,0,2,0,1
J.J. Redick,13,82,241.7692308,13
J.R. Bremer,4,64,64.25,4
J.R. Giddens,2,32,14.5,4
J.R. Henderson,4,30,35,1
J.R. Reid,54,83,161.3529412,17
J.R. Smith,24,81,294.7333333,15
Jabari Brown,2,19,70,1
Jabari Parker,29,76,323.6666667,3
Jabari Smith,14,45,25.16666667,6
Jack Burmaster,,61,237,1
Jack Coleman,,75,291.1818182,11
Jack Cooley,3,16,9,1
Jack Cotton,,54,97,1
Jack Foley,,11,13.33333333,3
Jack George,,72,213.4,10
Jack Givens,19,82,208,2
Jack Haley,21,78,52,11
Jack Kerris,,69,117.625,8
Jack Kiley,,47,23,2
Jack Marin,26,82,384.4,15
Jack McCloskey,,1,3,1
Jack McMahon,,72,181.7,10
Jack Molinas,,32,114,1
Jack Nichols,,75,217.9,10
Jack Parkinson,,4,1,1
Jack Parr,,66,109,1
Jack Phelan,,55,58,3
Jack Sikma,107,82,456.8571429,14
Jack Smiley,,59,65.33333333,3
Jack Stephens,,72,248,1
Jack Toomay,,62,204,1
Jack Turner,,65,97.5,2
Jack Twyman*,,80,567,11
Jackie Butler,31,55,45.66666667,3
Jackie Dinkins,,18,17,1
Jackie Moore,,57,45.66666667,3
Jackie Moreland,,78,208.4,5
Jackie Ridgle,,32,19,1
Jackie Robinson,3,12,10.33333333,3
Jackson Vroman,19,46,47.5,4
Jacky Dorsey,3,29,13.6,5
Jacque Vaughn,3,82,108.3333333,12
Jae Crowder,35,82,203.1428571,7
Jahidi White,111,80,92.77777778,9
Jahlil Okafor,61,53,319.5,2
JaJuan Johnson,14,36,54,1
JaKarr Sampson,33,74,106.5,4
Jake Bornheimer,,60,88,1
Jake Carter,,24,15.33333333,3
Jake Fendley,,58,43,2
Jake Ford,,26,21,2
Jake Jones,,17,18.66666667,3
Jake Layman,3,35,26,1
Jake Tsakalidis,69,67,67.66666667,9
Jake Voskuhl,29,73,74.77777778,9
Jakob Poeltl,20,54,67,1
Jalen Rose,49,83,325.6842105,19
Jamaal Franklin,2,21,8.5,2
Jamaal Magloire,111,82,127.2142857,14
Jamaal Tinsley,40,80,159.9090909,11
Jamaal Wilkes*,41,82,518.8333333,12
Jamal Crawford,29,82,351.9473684,19
Jamal Mashburn,17,82,351,13
Jamal Murray,24,82,295,1
Jamal Robinson,0,6,3,1
Jamal Sampson,17,23,10.6,5
Jamario Moon,108,80,116.2222222,9
Jameer Nelson,9,79,243.75,16
Jamel Thomas,0,7,5.5,4
James Anderson,28,80,82.42857143,7
James Augustine,2,25,9.5,2
James Bailey,143,82,207,13
James Blackwell,0,13,5.333333333,3
James Collins,3,23,21,1
James Cotton,1,10,7,2
James Donaldson,139,83,192.9444444,18
James Edwards,128,83,269.08,25
James Ennis,19,64,59.16666667,6
James Harden,60,82,500.625,8
James Hardy,87,82,152.75,4
James Johnson,86,76,152.4,10
James Jones,49,81,86.07142857,14
James Lang,3,11,4,1
James Michael,29,52,43.66666667,3
James Nunnally,2,13,10,3
James Phelan,,4,0,1
James Posey,40,83,200.2857143,14
James Ray,19,45,45.33333333,3
James Robinson,16,76,124.1111111,9
James Scott,0,8,0,1
James Silas,20,79,301.6666667,6
James Singleton,43,62,65.57142857,7
James Southerland,2,4,3.333333333,3
James Thomas,4,22,7.333333333,6
James White,4,57,23.66666667,3
James Wilkes,18,57,74.66666667,3
James Worthy*,83,82,573.1666667,12
James Young,2,31,24,3
JamesOn Curry,0,1,0,1
Jamie Feick,38,81,52.66666667,9
Jamie Waller,1,9,16,1
Jamie Watson,11,60,26.16666667,6
Jamison Brewer,1,18,8.75,4
JaMychal Green,34,78,106.8,5
Jan Van,76,82,133.1428571,7
Jan Vesely,35,57,70.4,5
Jannero Pargo,6,82,81.58823529,17
Jared Cunningham,2,44,12.75,8
Jared Dudley,20,82,197.4166667,12
Jared Jeffries,71,82,88.73333333,15
Jared Reiner,7,27,12.5,2
Jared Sullinger,49,81,234.4,5
Jarell Eddie,1,26,13,2
Jarell Martin,9,42,56,2
Jaren Jackson,16,82,72.08333333,12
Jarnell Stokes,5,19,5.6,5
Jarrett Jack,22,83,246.0714286,14
Jarrod Uthoff,4,9,16,1
Jarron Collins,27,82,57.33333333,12
Jarvis Hayes,13,82,199.5714286,7
Jarvis Varnado,29,24,13,6
Jason Caffey,25,80,150.2,10
Jason Collier,13,70,67.6,5
Jason Collins,71,81,57.64705882,17
Jason Hart,14,74,49.66666667,15
Jason Kapono,6,81,148.4444444,9
Jason Kidd,39,82,292.9130435,23
Jason Lawson,4,17,9,1
Jason Maxiell,95,82,139.8,10
Jason Miskiri,0,1,0,1
Jason Richardson,57,82,382.0588235,17
Jason Sasser,0,8,5.75,4
Jason Smith,65,82,167.3333333,9
Jason Terry,27,82,380.8333333,18
Jason Thompson,73,82,216.4,10
Jason Williams,10,82,220.5,14
JaVale McGee,193,79,152.4615385,13
Javaris Crittenton,6,63,76.33333333,6
Jawad Williams,5,54,42.33333333,3
Jawann Oldham,134,64,50.91666667,12
Jay Arnette,,63,54.33333333,3
Jay Carty,,28,34,1
Jay Edwards,0,4,3,1
Jay Guidinger,10,32,17.5,2
Jay Humphries,13,82,252.9333333,15
Jay Miller,,8,5,2
Jay Murphy,3,23,15.75,4
Jay Taylor,3,17,21,1
Jay Vincent,45,81,283.0769231,13
Jay Williams,17,75,273,1
Jaylen Brown,18,78,192,1
Jayson Williams,60,80,151.1111111,9
Jeff Adrien,36,53,58.14285714,7
Jeff Ayres,25,73,47.83333333,6
Jeff Cook,54,81,100.1428571,14
Jeff Cross,3,21,6,1
Jeff Foote,1,4,2,1
Jeff Foster,49,82,113.2307692,13
Jeff Grayer,13,82,121.8181818,11
Jeff Green,72,82,309,15
Jeff Halliburton,,55,101.25,4
Jeff Hornacek,31,82,400.0625,16
Jeff Judkins,12,81,119.2,5
Jeff Lamp,4,74,106.5,8
Jeff Lebo,0,4,2,1
Jeff Malone,14,81,452.9411765,17
Jeff Martin,31,74,192,2
Jeff McInnis,7,81,194.0769231,13
Jeff Mullins,22,81,448.5833333,12
Jeff Nordgaard,0,13,5,1
Jeff Ruland,77,82,263.125,8
Jeff Sanders,4,31,12.25,4
Jeff Slade,,3,2,1
Jeff Taylor,15,44,35,2
Jeff Teague,37,82,335.25,8
Jeff Trepagnier,4,12,11.33333333,3
Jeff Turner,16,76,154.3,10
Jeff Webb,,46,26.75,4
Jeff Webster,0,11,8,1
Jeff Wilkins,77,82,206,8
Jeff Withey,53,58,60.75,4
Jeffery Taylor,15,77,99.66666667,3
Jeffrey Sheppard,0,18,15,1
Jelani McCoy,60,70,63.75,8
Jerald Honeycutt,6,38,27,4
Jerami Grant,127,80,135.8,5
Jerel McNeal,1,6,3,1
Jeremy Evans,46,66,60.5,6
Jeremy Lamb,30,78,169.4,5
Jeremy Lin,42,82,234.5714286,7
Jeremy Pargo,2,44,62,4
Jeremy Richardson,0,27,6.5,8
Jeremy Tyler,20,42,33.2,5
Jerian Grant,10,76,141,2
Jermaine Jackson,6,53,18.42857143,7
Jermaine O'Neal,228,81,275.45,20
Jermaine Taylor,5,34,58.25,4
Jermareo Davidson,15,38,34,2
Jerome Allen,5,76,48,4
Jerome Anderson,3,27,25.5,2
Jerome Beasley,0,2,1,1
Jerome Dyson,2,9,19,1
Jerome Harmon,0,10,21,1
Jerome Henderson,1,6,3,2
Jerome James,111,80,72.22222222,9
Jerome Jordan,15,44,33.5,2
Jerome Kersey,84,82,277.8235294,17
Jerome Lane,17,67,63.875,8
Jerome Moiso,44,51,20.875,8
Jerome Whitehead,44,81,112.3888889,18
Jerome Williams,26,82,132.2307692,13
Jerrelle Benimon,0,2,0,1
Jerrod Mustaf,16,62,71.25,4
Jerry Baskerville,5,21,8,1
Jerry Bird,,11,12,1
Jerry Chambers,,79,205.5,4
Jerry Eaves,5,82,104,4
Jerry Fleishman,,65,101,2
Jerry Fowler,,6,4,1
Jerry Greenspan,,20,20,2
Jerry Grote,,11,6,1
Jerry Harkness,,5,13,1
Jerry Lucas*,24,82,470.3076923,13
Jerry Nagel,,14,6,1
Jerry Paulson,,6,8,1
Jerry Reynolds,64,80,177.5,8
Jerry Rullo,,4,3,1
Jerry Sichting,8,82,138,14
Jerry Sloan*,17,82,374.1818182,11
Jerry Smith,0,5,3,1
Jerry Stackhouse,79,82,290.5,20
Jerry West*,23,79,644,14
Jerryd Bayless,17,80,153.3846154,13
Jeryl Sasser,12,75,33.5,2
Jesse Arnelle,,31,52,1
Jesse Branson,,5,1,1
Jesse Dark,1,47,74,1
Jim Ard,36,81,51.33333333,6
Jim Baechtold,,72,223.4,5
Jim Barnes,,80,171.6923077,13
Jim Barnett,16,82,277.7692308,13
Jim Bostic,0,4,12,1
Jim Brasco,,20,16.66666667,3
Jim Brewer,89,82,175.0909091,11
Jim Brogan,13,63,128,2
Jim Browne,,31,17,1
Jim Burns,,3,2,1
Jim Caldwell,,2,0,1
Jim Chones,120,82,410,8
Jim Cleamons,23,82,223.2727273,11
Jim Creighton,9,32,12,1
Jim Davis,36,82,151.3636364,11
Jim Eakins,49,82,59.75,4
Jim Farmer,2,38,53.71428571,7
Jim Fox,25,82,209.3125,16
Jim Fritsche,,68,62,4
Jim Garvin,0,6,1,1
Jim Grandholm,8,26,30,1
Jim Holstein,,70,79.25,4
Jim Jackson,32,82,261.0416667,24
Jim Johnstone,7,23,7.333333333,3
Jim King,,77,146.0833333,12
Jim Krebs,,79,242.2857143,7
Jim Lampley,0,1,1,1
Jim Les,7,82,41.88888889,9
Jim Loscutoff,,79,148.1111111,9
Jim Luisi,,31,31,1
Jim Marsh,,39,39,1
Jim McDaniels,37,68,81.8,5
Jim McElroy,49,79,207.1111111,9
Jim McIlvaine,166,82,60.42857143,7
Jim McMillian,26,82,404.8888889,9
Jim Mooney,,18,54,1
Jim Neal,,67,64.5,2
Jim Nolan,,5,4,1
Jim Owens,2,41,38.5,2
Jim Palmer,,74,174.6,5
Jim Paxson,17,82,336.3333333,15
Jim Petersen,102,82,171.375,8
Jim Pollard*,,71,330.8333333,6
Jim Price,32,83,213.7857143,14
Jim Ray,,4,1.5,2
Jim Reid,,6,10,1
Jim Riffey,,35,65,1
Jim Rowinski,2,14,4,4
Jim Seminoff,,65,85,1
Jim Slaughter,,28,53,1
Jim Smith,51,72,44.5,2
Jim Spanarkel,20,82,168.8,5
Jim Thomas,6,80,135.25,4
Jim Tucker,,70,52.33333333,3
Jim Walsh,,10,5,1
Jim Ware,,33,27.5,2
Jim Washington,74,84,255.8,15
Jim Zoet,3,7,1,1
Jimmer Fredette,3,69,69.44444444,9
Jimmy Butler,43,82,334.5,6
Jimmy Carruth,2,4,2,1
Jimmy Collins,,55,59,2
Jimmy Darden,,26,78,1
Jimmy Darrow,,5,3,1
Jimmy Jones,10,73,120.6666667,3
Jimmy King,13,62,56,2
Jimmy Oliver,2,44,27,5
Jimmy Walker,14,81,473.2727273,11
Jiri Welsch,7,81,110.8333333,6
Jo Jo,25,82,391,17
Joakim Noah,141,80,212.9,10
Joao Vianna,0,1,1,1
Joby Wright,,77,133,1
Jodie Meeks,6,78,159.1,10
Joe Alexander,29,59,51.5,2
Joe Arlauckas,4,9,14,1
Joe Barry,155,82,409.6428571,14
Joe Binion,2,11,4,1
Joe Bradley,,46,36,1
Joe Bryant,39,82,261.625,8
Joe Buckhalter,,63,76.5,2
Joe Caldwell,,82,421.125,8
Joe Cooke,,73,134,1
Joe Cooper,20,20,13.66666667,6
Joe Courtney,12,52,19.7,10
Joe Crawford,0,2,3,1
Joe Crispin,0,21,17.33333333,3
Joe Dolhon,,64,80,2
Joe Dumars*,15,82,428.1428571,14
Joe Ellis,9,80,243.25,8
Joe Fulks*,,70,298.8,5
Joe Graboski,,73,281.5833333,12
Joe Harris,8,52,67.66666667,3
Joe Hassett,8,74,106.875,8
Joe Holland,,67,144.6666667,3
Joe Holup,,71,110.2,5
Joe Hutton,,60,56,2
Joe Ingles,10,82,158.3333333,3
Joe Johnson,31,82,415.2,20
Joe Kennedy,,72,88.5,2
Joe Kleine,59,82,107.3,20
Joe Kopicki,5,59,45.66666667,3
Joe McNamee,,60,58,2
Joe Meriweather,120,81,201,12
Joe Mullaney,,37,9,1
Joe Pace,21,49,45.5,2
Joe Reaves,2,7,6,1
Joe Roberts,,80,148.6666667,3
Joe Ruklick,,46,58.66666667,3
Joe Smith,134,82,210.5384615,26
Joe Smyth,,40,32,3
Joe Stephens,3,13,10,3
Joe Strawder,,79,245.6666667,3
Joe Thomas,,39,23,1
Joe Wolf,31,77,81.53333333,15
Joe Young,0,41,44,2
Joel Anthony,109,80,34.16666667,12
Joel Bolomboy,2,12,9,1
Joel Embiid,76,31,200,1
Joel Freeland,23,52,69.66666667,3
Joel Kramer,23,82,96.6,5
Joel Przybilla,163,82,55.23529412,17
Joey Dorsey,25,69,25.16666667,6
Joey Graham,13,80,142.8333333,6
Joffrey Lauvergne,15,70,105.4,5
Johan Petro,51,81,104.9,10
John Amaechi,37,82,132.6,5
John Arthurs,,11,12,1
John Bagley,10,82,214.4545455,11
John Barber,,5,2,1
John Barnhill,,77,192.5555556,9
John Battle,9,82,205.4,10
John Block,35,82,224.4285714,14
John Brisker,6,70,196.6666667,3
John Brown,16,77,153.8888889,9
John Celestand,0,16,15,1
John Chaney,,16,16.66666667,3
John Coker,2,14,6,3
John Coughran,1,24,29,1
John Crotty,6,80,52,13
John Douglas,9,64,91,2
John Drew,39,81,498.2727273,11
John Duren,5,82,105.6666667,3
John Edwards,15,40,21,2
John Fairchild,,30,23,1
John Garris,6,33,52,1
John Gianelli,118,82,205.5,10
John Greig,1,9,7,1
John Hargis,,60,79.75,4
John Havlicek*,32,82,657.0625,16
John Henson,135,70,205,5
John Hummer,22,81,127.375,8
John Jenkins,10,61,48.57142857,7
John Johnson,39,82,327.0625,16
John Kuester,1,78,57.66666667,3
John Lambert,50,76,79.90909091,11
John Laskowski,10,71,179.5,2
John Logan,,62,167.5,2
John Long,26,82,328.4375,16
John Lucas,19,82,198.1363636,22
John Mahnken,,69,71.11111111,9
John Mandic,,25,14.66666667,3
John McConathy,,11,4,1
John McCullough,0,8,9,1
John Mengelt,7,81,228.1666667,12
John Morton,18,66,48,5
John O'Boyle,,5,8,1
John Oldham,,68,163,2
John Olive,0,34,6.5,2
John Paxson,9,82,218.4545455,11
John Pilch,,9,1,1
John Pinone,1,7,7,1
John Pritchard,,7,9,1
John Rennicke,,6,4,1
John Richter,,66,113,1
John Roche,12,82,126.75,4
John Rudd,8,58,59,1
John Rudometkin,,56,73.2,5
John Salley,153,82,148.7692308,13
John Salmons,31,82,216.3157895,19
John Schweitz,1,19,12.5,2
John Shasky,20,65,58.66666667,3
John Shumate,84,80,169.9285714,14
John Starks,18,82,277.0666667,15
John Stockton*,24,82,370.4736842,19
John Stroeder,12,41,8.25,4
John Stroud,0,9,11,1
John Thomas,14,55,28.4,10
John Thompson*,,64,49,2
John Trapp,,82,145.2857143,7
John Tresvant,,85,175.4210526,19
John Tschogl,25,64,42,3
John Turner,4,42,43,1
John Vallely,,51,52.75,4
John Wall,59,82,488.1428571,7
John Wallace,101,82,164.5714286,7
John Warren,6,82,150.8,5
John Wetzel,19,70,66.42857143,7
John Williams,70,82,221.125,8
John Williamson,19,75,368.4545455,11
John Windsor,,11,10,1
Johnny Austin,,4,5,1
Johnny Baum,,62,63,2
Johnny Cox,,73,239,1
Johnny Davis,23,82,320.5833333,12
Johnny Dawkins,9,82,262.3333333,9
Johnny Egan,,82,161.7058824,17
Johnny Ezersky,,54,95.33333333,3
Johnny Green,,82,313.3888889,18
Johnny High,34,82,127,4
Johnny Horan,,19,8,3
Johnny Jones,,51,86,1
Johnny Macknowski,,59,142.5,2
Johnny McCarthy,,79,159.6666667,6
Johnny Moore,32,82,182,11
Johnny Neumann,10,63,89.25,4
Johnny Newman,27,82,264.9444444,18
Johnny Norlander,,40,52.5,2
Johnny O'Bryant,8,66,32,5
Johnny Orr,,34,26.66666667,3
Johnny Payak,,68,81,4
Johnny Rogers,8,45,58,2
Johnny Taylor,17,36,21,5
Jon Barry,20,82,109.75,16
Jon Brockman,5,63,39.33333333,3
Jon Koncak,125,82,131.2727273,11
Jon Leuer,30,75,115.375,8
Jon McGlocklin,7,82,363.7272727,11
Jon Sundvold,2,76,183,9
Jonas Jerebko,29,80,145.7777778,9
Jonas Valanciunas,95,81,326,5
Jonathan Bender,56,78,63.625,8
Jonathan Gibson,0,17,35,1
Jonathan Kerner,0,1,0,1
Jonathon Simmons,25,78,149.5,2
Jonny Flynn,3,81,119.4,5
Jordan Adams,7,30,18.5,2
Jordan Clarkson,12,82,406.3333333,3
Jordan Crawford,7,81,190.3636364,11
Jordan Farmar,11,82,146,10
Jordan Hamilton,20,60,69.85714286,7
Jordan Hill,64,73,128.1666667,12
Jordan McRae,6,37,31.5,4
Jordan Mickey,11,25,11.5,2
Jordan Williams,15,43,77,1
Jorge Garbajosa,15,67,115,2
Jorge Gutierrez,1,20,15,5
Jose Calderon,11,82,204.1875,16
Jose Ortiz,7,51,37,2
Jose Slaughter,7,63,89,1
Joseph Forte,0,17,5.5,2
Josh Akognon,0,3,2,1
Josh Boone,61,70,141.75,4
Josh Childress,43,80,167.875,8
Josh Davis,4,42,8.285714286,7
Josh Grant,8,53,59,1
Josh Harrellson,20,37,35,3
Josh Howard,56,76,243,12
Josh Huestis,3,5,5.5,2
Josh McRoberts,57,78,89.16666667,12
Josh Powell,23,64,60.11111111,9
Josh Richardson,39,53,162.5,2
Josh Selby,0,28,15.5,2
Josh Smith,227,83,351.8125,16
Jrue Holiday,43,82,355.875,8
Juan Carlos,1,82,308,1
Juan Dixon,9,81,164.0909091,11
Juan Hernangomez,12,62,101,1
Juaquin Hawkins,6,58,57,1
Jud Buechler,21,76,60.82352941,17
Julian Wright,20,68,99.25,4
Julius Erving*,147,82,657.9090909,11
Julius Hodge,0,14,4.25,4
Julius Nwosu,3,23,9,1
Julius Randle,37,81,245.3333333,3
Julyan Stone,6,22,7.333333333,3
Jumaine Jones,46,81,161.75,8
Junior Bridgeman,41,82,400.0833333,12
Junior Burrough,10,61,64,1
Junior Harrington,15,82,96.66666667,3
Justin Anderson,25,75,110.75,4
Justin Dentmon,0,6,5,4
Justin Hamilton,43,64,51.71428571,7
Justin Harper,3,14,6,3
Justin Holiday,31,82,86,6
Justin Reed,15,72,58.6,5
Justin Williams,16,26,20,4
Justise Winslow,26,78,137.5,2
Justus Thigpen,0,18,12,2
Jusuf Nurkic,74,65,162.8,5
Juwan Howard,47,82,306.52,25
K.C. Jones*,,80,213.2222222,9
K.J. McDaniels,70,62,75.28571429,7
Kalin Lucas,0,1,0,1
Kaniel Dickens,1,11,2.666666667,3
Kannard Johnson,0,4,1,1
Kareem Abdul-Jabbar*,338,82,791.85,20
Kareem Rush,20,76,114.7777778,9
Karl Malone*,126,82,712,19
Karl-Anthony Towns,138,82,713.5,2
Kasib Powell,2,11,35,1
Kawhi Leonard,71,74,396.1666667,6
Kay Felder,7,42,62,1
Kebu Stewart,2,15,12,1
Kedrick Brown,13,55,53.33333333,6
Keith Appling,0,5,2,1
Keith Askins,61,78,75.22222222,9
Keith Benson,0,3,0,1
Keith Bogans,12,82,121.0666667,15
Keith Booth,11,39,25.5,2
Keith Closs,81,58,67,3
Keith Edmonson,7,55,91,4
Keith Erickson,20,78,251.1666667,12
Keith Herron,26,80,161.6666667,3
Keith Jennings,2,80,117.6666667,3
Keith Langford,0,2,1,1
Keith Lee,40,67,152,3
Keith McCord,0,2,2,1
Keith McLeod,12,66,72.66666667,6
Keith Owens,4,20,9,1
Keith Smart,0,2,0,1
Keith Smith,3,42,57,1
Keith Starr,0,17,6,1
Keith Tower,11,34,9.75,4
Keith Van,60,81,312.5384615,13
Kelenna Azubuike,50,81,160.4,5
Kelly McCarty,0,2,2,1
Kelly Olynyk,39,75,249.5,4
Kelly Oubre,17,79,138,2
Kelly Tripucka,20,82,443.4,10
Kelvin Cato,124,75,96.58333333,12
Kelvin Ransey,9,81,367.8333333,6
Kelvin Upshaw,5,48,53.75,8
Kemba Walker,39,82,474.1666667,6
Ken Austin,1,7,6,1
Ken Bannister,40,75,117.2,5
Ken Boyd,0,6,7,1
Ken Charles,48,82,216.6,5
Ken Durrett,8,48,43.16666667,6
Ken Green,0,7,13,1
Ken Johnson,22,64,64,2
Ken Mayfield,0,13,17,1
Ken McBride,,12,48,1
Ken Menke,,6,6,1
Ken Murray,,66,180.3333333,3
Ken Norman,66,82,373.7,10
Ken Rohloff,,2,0,1
Ken Wilburn,,4,4,2
Kendall Gill,64,82,312.5882353,17
Kendall Marshall,4,54,78.75,4
Kendrick Perkins,150,78,110.1764706,17
Kennard Winchester,13,64,37,5
Kenneth Faried,83,80,326.3333333,6
Kenny Anderson,15,82,221.2272727,22
Kenny Battle,18,59,48.375,8
Kenny Carr,52,82,270.2142857,14
Kenny Dennard,8,43,36.33333333,3
Kenny Fields,15,78,103.6666667,6
Kenny Gattison,69,82,170.6666667,9
Kenny Green,9,41,47.75,4
Kenny Higgs,11,76,179.3333333,3
Kenny McIntosh,29,69,86,6
Kenny Natt,1,22,13.4,5
Kenny Payne,8,49,54.5,4
Kenny Rollins,,66,91,2
Kenny Sailors,,60,172.75,4
Kenny Satterfield,2,39,45.75,4
Kenny Sears,,77,262.6,10
Kenny Smith,11,82,267.0666667,15
Kenny Thomas,66,82,195.7333333,15
Kenny Walker,59,82,177.1428571,7
Kenny Williams,49,75,136.75,4
Kent Bazemore,52,75,156.1428571,7
Kent Benson,98,82,221.3076923,13
Kentavious Caldwell-Pope,18,82,336.25,4
Kenton Edelin,4,10,4,1
Kenyon Martin,121,77,258.3333333,15
Keon Clark,154,81,178.5,8
Kermit Washington,131,82,168.75,12
Kerry Kittles,40,82,347.375,8
Kevin Brooks,2,55,57.33333333,3
Kevin Burleson,2,39,22,1
Kevin Duckworth,49,82,257.3846154,13
Kevin Durant,105,82,646.3,10
Kevin Edwards,46,82,208.2307692,13
Kevin Gamble,37,82,226.1666667,12
Kevin Garnett,178,82,462.9565217,23
Kevin Grevey,23,81,291.5,10
Kevin Henderson,0,17,11.25,4
Kevin Johnson,24,81,341.9285714,14
Kevin Jones,5,32,43,1
Kevin Kunnert,118,81,193.3636364,11
Kevin Loder,30,71,76.8,5
Kevin Loughery,,82,336.9333333,15
Kevin Love,50,81,390,9
Kevin Lynch,9,55,61.5,2
Kevin Martin,15,80,268.25,16
Kevin McHale*,192,82,525.3846154,13
Kevin McKenna,7,61,83,6
Kevin Murphy,0,17,7,1
Kevin Ollie,8,82,56.43478261,23
Kevin O'Shea,,65,92.8,5
Kevin Porter,15,82,307.4166667,12
Kevin Pritchard,8,62,22,6
Kevin Restani,27,82,135.5,12
Kevin Salvadori,13,23,6.5,2
Kevin Seraphin,76,79,162,7
Kevin Stacom,5,79,112.125,8
Kevin Thompson,2,14,6,1
Kevin Williams,11,80,82.28571429,7
Kevin Willis,61,82,303.5925926,27
Kevinn Pinkney,3,6,12,1
Kevon Looney,17,53,30,2
Keyon Dooling,15,80,139.2307692,13
Khalid El-Amin,2,50,115,1
Khalid Reeves,10,82,102.3,10
Khris Middleton,20,82,300.2,5
Kiki Vandeweghe,50,82,422.6,15
Kim Anderson,5,21,24,1
Kim English,3,41,42,1
Kim Hughes,119,81,66,7
Kirk Haston,5,15,6.5,2
Kirk Hinrich,26,81,225.2941176,17
Kirk Penney,0,4,1,2
Kirk Snyder,23,68,97.5,6
Kiwane Garris,1,28,12,2
Klay Thompson,60,82,547,6
Kleggie Hermsen,,71,78.6,5
Kobe Bryant,67,82,585.95,20
Korleone Young,0,3,5,1
Kornel David,17,50,41.85714286,7
Kosta Koufos,103,81,138.4545455,11
Kosta Perovic,2,7,3,1
Kostas Papanikolaou,13,43,46.5,2
Kris Dunn,36,78,118,1
Kris Humphries,80,74,132.1666667,18
Kris Joseph,0,10,1.333333333,3
Kristaps Porzingis,134,72,408,2
Kurk Lee,2,48,19,1
Kurt Nimphius,144,82,163.0833333,12
Kurt Rambis,76,82,114.3888889,18
Kurt Thomas,97,82,201.55,20
Kwame Brown,80,80,113.5714286,14
Kyle Anderson,29,78,87.33333333,3
Kyle Korver,42,82,224.8888889,18
Kyle Lowry,34,82,266.3076923,13
