Row Labels,Max of BLK,Max of G,Average of FG,Count of Year
Awvee Storey,1,26,19.33333333,3
Axel Toupane,6,21,8.75,4
B.J. Armstrong,9,82,199.6666667,15
B.J. Tyler,2,55,72,1
Bailey Howell*,,82,542.9166667,12
Barney Cable,,75,133.25,12
Baron Davis,47,82,321.6470588,17
Barry Clemens,7,82,205.6363636,11
Barry Kramer,,52,42,3
Barry Nelson,,28,15,1
Barry Orms,,64,76,1
Barry Stevens,0,2,1,1
Barry Sumpter,0,1,0,1
Barry Yates,,24,31,1
Bart Kofoed,2,44,11.6,5
Bato Govedarica,,23,25,1
Bayard Forrest,37,75,114.5,2
Belus Smawley,,61,160.8,5
Ben Bentil,0,3,0,1
Ben Clyde,3,25,31,1
Ben Coleman,41,70,115.5714286,7
Ben Davis,1,20,5.25,4
Ben Gillery,4,24,6,1
Ben Gordon,22,82,357.3636364,11
Ben Handlogten,5,21,34,2
Ben Hansbrough,2,28,15,1
Ben Kelso,1,46,35,1
Ben McDonald,8,81,115.75,4
Ben McLemore,19,82,248.25,4
Ben Poquette,174,82,169.75,12
Ben Uzoh,8,42,32.75,4
Ben Wallace,278,82,150.3888889,18
Ben Warley,,79,102.2857143,7
Bennie Swain,,58,99,1
Beno Udrih,12,80,163.8947368,19
Benoit Benjamin,225,83,209.5714286,21
Bernard James,38,46,25.33333333,3
Bernard King*,39,82,559.2857143,14
Bernard Robinson,10,66,46.2,5
Bernard Thompson,10,61,82,5
Bernard Toone,5,23,23,1
Bernie Fryer,10,80,136.5,2
Bernie Harris,1,11,2,1
Bernie Williams,,72,181.5,2
Bert Cook,,37,42,1
Bevo Nordmann,,58,52.5,8
Bill Bolger,,20,24,1
Bill Bradley*,21,82,392.7,10
Bill Bridges,31,82,259.3684211,19
Bill Buntin,,42,118,1
Bill Calhoun,,72,150.625,8
Bill Cartwright,127,82,310.4,15
Bill Chamberlain,12,28,57,1
Bill Closs,,65,201.6666667,3
Bill Curley,21,53,23.44444444,9
Bill Dinwiddie,,69,101,4
Bill Ebben,,8,6,1
Bill Edwards,1,3,2,1
Bill Gabor,,69,180,6
Bill Garnett,70,80,143,4
Bill Hanzlik,30,82,183.6,10
Bill Henry,,63,59.33333333,3
Bill Herman,,13,25,1
Bill Hewitt,10,75,125.125,8
Bill Hosket,,50,58.75,4
Bill Jones,6,37,50,1
Bill Laimbeer,118,82,364.9375,16
Bill Ligon,9,38,55,1
Bill Martin,7,66,56,3
Bill Mayfield,1,7,8,1
Bill McGill,,74,162.1428571,7
Bill Melchionni,,73,142,2
Bill Mlkvy,,31,75,1
Bill Roberts,,67,77,1
Bill Robinzine,23,82,286.3333333,9
Bill Russell*,,81,437.4615385,13
Bill Sharman*,,72,432.8181818,11
Bill Smith,,9,8,1
Bill Stricker,,1,2,1
Bill Thieben,,58,66,2
Bill Tosheff,,71,211.3333333,3
Bill Turner,,79,81.9,10
Bill Walton*,211,80,255.2,10
Bill Wennington,59,77,106.0769231,13
Bill Willoughby,62,78,137.1,10
Bill Zopf,,53,49,1
Billy Cunningham*,35,82,568.4444444,9
Billy Donovan,1,44,44,1
